system:index,B11,B12,B3,B4,B5,B6,B7,B8,B8A,NBRI,NDMI,NDVI,NDWI,SAVI,VH,VH_variance,VV,VV_VH,VV_variance,class,latitude_209564535,longitude_209564535,.geo
0,0.02055,0.01265,0.13705,0.1481,0.13175,0.08365,0.09355,0.07105,0.0722,0.69773,0.55131006,-0.35158566,0.3171552,-0.16071056,-27.099796,3.3265066233302414,-22.511923,-0.09247561,1.3739284244708756,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.06298868976833,-1.3117933024566883]}"
1,0.0203,0.01085,0.14855,0.1517,0.138,0.09155,0.10145,0.0784,0.0757,0.75686276,0.5886525,-0.31855717,0.30909893,-0.15059581,-26.74019,3.194377725747055,-22.528517,-0.08548374,1.037814633021469,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.05680322699118,-1.316307181111215]}"
2,0.0247,0.0151,0.1227,0.1239,0.1163,0.0914,0.1031,0.0819,0.0865,0.6886598,0.53658533,-0.20408161,0.19941348,-0.08926041,-29.43364,3.4568733652868295,-20.307478,-0.1834732,0.8210127886629266,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.38953404810768,-0.8279719493262593]}"
3,0.0174,0.0073,0.1221,0.1191,0.1099,0.1013,0.112,0.0825,0.0886,0.83741647,0.6516517,-0.18154758,0.19354838,-0.0782497,-28.230972,3.0689364571090323,-22.877201,-0.10475372,1.0377921078075663,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.32189338587162,-1.604859874689522]}"
4,0.00795,0.0053,0.06455,0.03735,0.03065,0.0282,0.0281,0.02275,0.0243,0.6221034,0.48208466,-0.24292845,0.4788087,-0.03910016,-28.172993,5.6168334215687,-20.980474,-0.14632778,0.8253539818013849,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5135936152166,-2.135084904227412]}"
5,0.02075,0.00975,0.1533,0.15435,0.13355,0.0945,0.1027,0.07935,0.07875,0.7811448,0.5854146,-0.32092425,0.31785944,-0.15333241,-27.563473,2.6652036452391883,-22.988026,-0.090510614,1.0419699262879003,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.06801494481635,-1.3069306038805257]}"
6,0.0334,0.0253,0.1427,0.1465,0.1344,0.0963,0.1053,0.0802,0.0903,0.5203792,0.41197184,-0.292457,0.2803948,-0.13685153,-28.192978,3.3547052695037434,-20.309908,-0.16252786,1.3499082424886808,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.82339026161654,-1.0182362747072362]}"
7,0.0261,0.0133,0.1513,0.153,0.13355,0.1043,0.1164,0.08835,0.0937,0.7383177,0.5439056,-0.26786825,0.26267475,-0.13080867,-27.708208,2.79918824776189,-23.17774,-0.08903182,0.9820200464481843,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.06694128896939,-1.3097185458160665]}"
8,0.00615,0.0041,0.0588,0.03285,0.02755,0.0244,0.02415,0.02,0.01955,0.65975106,0.52963674,-0.243141,0.4923858,-0.034864794,-29.23401,5.854085885493873,-20.183548,-0.18314266,1.1501026860609187,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50723288888274,-2.138819346616553]}"
9,0.00575,0.00405,0.06,0.0337,0.02795,0.02395,0.024,0.01965,0.0195,0.6582278,0.5472441,-0.26335523,0.5065913,-0.038086206,-27.698019,5.30790053966399,-20.488861,-0.14960834,1.3921866246118242,0,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5008165931858,-2.1378528490511894]}"
